"Variable","Label"
"EAq1a09","Revenue from sales in 2009"
"EAq1b09","Value of production/manufactured in 2009"
"EAq1c09","Value of additional income in 2009"
"EAq1d09","Total inderect costs in 2009"
"EAq1e09","Value of raw materials in 2009"
"EAq1f09","Total value added in 2009"
"EAq1g09","Total wage bill, incluiding allowance in 2009"
"EAq1h09","Other labour costs (social and health insurance, training, recruitment, etc.) in"
"EAq1ha09","Social insurance costs in 2009"
"EAq1hb09","Health insurance costs in 2009"
"EAq1hc09","Training, recruitment and other costs in 2009"
"EAq1hd09","Unemployment Insurance costs in 2009"
"EAq1i09","Total gross profit in 2009"
"EAq1j09","Value of your allowable depreciation in 2009"
"EAq1k09","Total interest payments (only formal) in 2009"
"EAq1l09","Total fees and taxes (only formal) in 2009"
"EAq1m09","Inventories of finished goods beginning-year in 2009"
"EAq1n09","Inventories of finished goods end-year in 2009"
"EAq1o09","Inventories of raw materials and unfinished products beginning-year in 2009"
"EAq1p09","Inventories of raw materials and unfinished products end-year in 2009"
"EAq1q09","Total physical assets end-year (market price) in 2009"
"EAq1r09","Land value end-year (market price) in 2009"
"EAq1s09","Buildings end-year (market price) in 2009"
"EAq1t09","Machinery/Equipment end-year (market price) in 2009"
"EAq1u09","Total financial assets end-year (market price) in 2009"
"EAq1v09","Total outstanding debt end-year in 2009"
"EAq1x09","Total number of full-time workers in firm end-year in 2009"
"EAq1y09","Value of Import of Raw Materials in 2009"
"EAq1z09","Value of export of final product of enterprise in 2009"
"EAq1a10","Revenue from sales in 2010"
"EAq1b10","Value of production/manufactured in 2010"
"EAq1c10","Value of additional income in 2010"
"EAq1d10","Total inderect costs in 2010"
"EAq1e10","Value of raw materials in 2010"
"EAq1f10","Total value added in 2010"
"EAq1g10","Total wage bill, incluiding allowance in 2010"
"EAq1h10","Other labour costs (social and health insurance, training, recruitment, etc.) in"
"EAq1ha10","Social insurance costs in 2010"
"EAq1hb10","Health insurance costs in 2010"
"EAq1hc10","Training, recruitment and other costs in 2010"
"EAq1hd10","Unemployment Insurance costs in 2010"
"EAq1i10","Total gross profit in 2010"
"EAq1j10","Value of your allowable depreciation in 2010"
"EAq1k10","Total interest payments (only formal) in 2010"
"EAq1l10","Total fees and taxes (only formal) in 2010"
"EAq1m10","Inventories of finished goods beginning-year in 2010"
"EAq1n10","Inventories of finished goods end-year in 2010"
"EAq1o10","Inventories of raw materials and unfinished products beginning-year in 2010"
