"id","wid_07","eq1_07","eqd2_07","eqd3_07","eqd4_07","eqd5_07","eqd6_07","eqd7_07","eqd8_07","eqd9_07","eqd10_07","eqd11_07","eqe1_07","eqe2_07","eqe3_07","eqe4_07","eqe5_07","eqe7_07","eqe8_07","eqf1a_07","eqf1b_07","eqf1c_07","eqf2_07","eqf3_07","eqg1_07","eqg2a_07","eqg2b_07","eqg3a_07","eqg3b_07","eqg4_07","eqg5_07","eqg6_07","eqg7_07","eqg8a_07","eqg8b_07","eqg8c_07","eqg8d_07","eqg9_07","eqg10_07","eqg11_07","eqh1_07","eqh2_07","eqi1_07","eqi2_07","eqi3_07","eqi4_07","eqi5_07","eqi6_07","eqj1a_07","eqj1b_07","eqj1c_07","eqj1d_07","eqj1e_07","eqj1f_07","eqj1g_07","eqj2_07","eqj3_07","eqj4_07","eqk1a_07","eqk1b_07","eqk1c_07","eqk1d_07","eqk1e_07","eqk2a_07","eqk2b_07","eqk2c_07","eqk2d_07","eqk2e_07","eqk2f_07"
6,2,"Ha Noi","Professional Worker","Other","Female",1959,"Yes",1996,"Yes","Yes","Urban","Married","College/University/post-graduate",5234,2000,"No","Secondary school","Primary school","Manufacturing and Construction","Sales Worker","Private firm","Manufacturing and Construction","Sufficient","Better for health","Time rate",6,10,"Month",1500,1,"Yes",1200,"No","No","No","No","No","Yes","Yes","Yes","Owner, who is a relative","Interview",,,,,,,"Most important","Second most important","Third most important",,,,,"No","No","Don't know","Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",50,4,2003,
6,6,"Ha Noi","Production Worker","Other","Female",1958,"Yes",2000,"No","No","Rural","Married","High school",,,"Yes","Secondary school","None","Manufacturing and Construction","Production Worker","Private firm","Agriculture","Sufficient","Better for health","Time rate",6,10,"Month",1000,1,"Yes",1200,"No","No","No","No","No","Yes","Yes","Yes","Owner, who is a relative","On-the-job test (carried out by experienced worker)",,,,,,,"Third most important","Second most important","Most important",,,,,"No","No","Don't know","Yes","Yes","Yes","Yes","Yes","Yes","Pemanent non-contained house",40,12,1995,
127,4,"Ha Noi","Sales Worker","Other","Male",1943,"Yes",1985,"Yes","Yes","Urban","Married","Secondary school",,,"Yes","Primary school","Primary school","Manufacturing and Construction","Sales Worker","Other","Manufacturing and Construction","More than sufficient","Better use of skills/experience","Time rate",6,8,"Month",1000,1,"Yes",300,"No","Yes","No","Yes","No","Yes","Yes","Yes","Through door to door visits","On-the-job test (carried out by experienced worker)",,,,,,,"Most important",,,,,,,"No","No","Nothing","Yes","Yes","Yes","No","Yes","Yes","Pemanent non-contained house",176,20,1987,
127,2,"Ha Noi","Professional Worker","Other","Female",1980,"Yes",2007,"No","No","Rural","Not married","College/University/post-graduate",5234,2004,"No","College/University/post-graduate","College/University/post-graduate","Services","Professional Worker (Requires Uni Degree)","Private firm","Services","Sufficient","Closer to home","Time rate",5,8,"Month",1000,3,"Yes",300,"No","Yes","No","Yes","No","Yes","Yes","Yes","Through door to door visits","On-the-job test (carried out by experienced worker)",,,,,,,"Most important",,,,,,,"No","No","Help related to medicine","Yes","Yes","Yes","Yes","Yes","No",,,,,
127,1,"Ha Noi","Manager","Owner","Male",1949,"Yes",1985,"Yes","Yes","Urban","Married","High school",,,"Yes","Primary school","Primary school","Services","Manager","Other","Manufacturing and Construction","More than sufficient","Better social benefits","Combined",6,8,"Month",1500,1,"Yes",300,"No","Yes","No","Yes","No","Yes","Yes","Yes","Other","None of the above",,,,,,,"Most important",,"Second most important",,,,,"No","No","Help related to medicine","Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",100,10,1997,
127,6,"Ha Noi","Production Worker","Other","Male",1963,"Yes",2007,"No","No","Rural","Married","Secondary school",,,"No","None","None","Agriculture","Production Worker","Other","Agriculture","Sufficient","Better use of skills/experience","Piece rate",0,8,"Day",70,2,"Yes",300,"No","No","No","No","No","Yes","Yes","Yes","Through door to door visits","Interview",,,,,,,"Most important",,"Second most important",,"Third most important",,,"No","No","Nothing","Yes","Yes","Yes","No","Yes","Yes","Pemanent non-contained house",50,20,1987,
137,6,"Ha Noi","Production Worker","Other","Male",1975,"Yes",2002,"Yes","Yes","Urban","Married","High school",,,"No","Secondary school","Secondary school","Manufacturing and Construction","Production Worker","Private firm","Manufacturing and Construction","Sufficient","Better social benefits","Piece rate",6,8,"Month",1000,2,"Yes",200,"No","No","No","No","No","No","Yes","Yes","Other","On-the-job test (carried out by experienced worker)",,,,,,,"Second most important","Third most important",,,"Most important",,,"No","No","Don't know","Yes","Yes","Yes","Yes","Yes","No",,,,,
155,6,"Hai Phong","Production Worker","Other","Male",1974,"Yes",2000,"Yes","Yes","Urban","Married","Technical certificate/Elementary worker",,,"Yes","Secondary school","Secondary school","Manufacturing and Construction","Production Worker","Private firm","Manufacturing and Construction","Sufficient","Better salary","Time rate",6,8,"Day",50,1,"Yes",400,"No","No","No","No","No","No","Yes","Yes","Through door to door visits","On-the-job test (carried out by experienced worker)",,,,,,,,,"Most important","Second most important","Third most important",,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","No",,,,,
157,6,"Hai Phong","Production Worker","Member of Owners HH","Female",1960,"Yes",2000,"Yes","Yes","Urban","Married","Secondary school",,,"Yes","High school","High school","Agriculture","Production Worker","Other","Agriculture","Sufficient","Better use of skills/experience","Other/Not paid",4,5,,,2,,,"No","No","No","No","No","No","No",,,"NA",,,,,,,"Most important",,"Second most important",,,,"Third most important","No","No","Don't know","Yes","Yes","Yes","No","No","Yes","Permanent self-contained house",50,3,2005,
158,3,"Hai Phong","Office Worker","Other","Female",1953,"Yes",1997,"Yes","Yes","Urban","Married","Technical worker/professional secondary",4234,1972,"Yes","Technical worker/professional secondary","Technical worker/professional secondary","Agriculture","Professional Worker (Requires Uni Degree)","Private firm","Services","Sufficient","Better working condition","Percent of Sales",6,6,"Month",2500,2,"Yes",200,"No","No","No","No","No","Yes","No",,"Owner, who is a relative","None of the above",,,,,,,"Most important","Second most important",,"Third most important",,,,"No","No","Don't know","Yes","Yes","Yes","Yes","Yes","No",,,,,
