"id","wid_15","wid_in_13","eq2_15","eqd1a_15","eqd2_15","eqd3_15","eqd4_15","eqd5_15","eqd6_15","eqd7_15","eqd8_15","eqd9_15","eqd10_15","eqd11_15","eqd12_15","eqd13_15","eqd14_15","eqe1_15","eqe2_15","eqe3_15","eqe4_15","eqe5_15","eqe6_15","eqe7_15","eqe8_15","eqe8a_15","eqe9_15","eqe9a_15","eqe10_15","eqe10a_15","eqe11_15","eqe12_15","eqe13_15","eqf1a_15","eqf1b_15","eqf1c_15","eqf2_15","eqf3_15","eqf4_15","eqg1a_15","eqg1b_15","eqg2a_15","eqg2b_15","eqg3a1_15","eqg3a2_15","eqg3b1_15","eqg3b2_15","eqg3c1_15","eqg3c2_15","eqg4_15","eqg5a_15","eqg5b_15","eqg6_15","eqg7_15","eqg8_15","eqg9a_15","eqg9b_15","eqg9c_15","eqg9d_15","eqg9e_15","eqg9f_15","eqg9g_15","eqg9h_15","eqg9i_15","eqg10a_15","eqg10b_15","eqg11_15","eqg12_15","eqg13_15","eqg14_15","eqh1_15","eqh2_15","eqi1_15","eqi2_15","eqi3_15","eqi4_15","eqi5_15","eqi6_15","eqi7_15","eqi8_15","eqj1a_15","eqj1ba_15","eqj1bb_15","eqj1bc_15","eqj1bd_15","eqj1be_15","eqj1bf_15","eqj1bg_15","eqk1a_15","eqk1b_15","eqk1c_15","eqk1d_15","eqk1f_15","eqk1e_15","eqk2a_15","eqk2b_15","eqk2c_15","eqk2d_15","eqk2e_15","eqk2f_15"
5,2,2,"Ha Noi",2,"Production Worker","Other","Female",1976,"Yes","Yes",2010,"Yes",,"No","Married",1,"Kinh","College",5151,1999,3,"Agriculture",4,"Agriculture",0,,0,,0,,"Don't know","No",,"Production Worker","Private firm","Services",10,"Sufficient","Better salary","Time rate","Cash",6,8,"Month",3500,"Month",2000,,,"No","Higher","No","Yes",100,"No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Not necessary at moment","No",,,"Friend/acquaintance working in firm","On-the-job test (carried out by experienced worker)","No",,,,,,"No",,"Yes",,,"Most important",,"Second most important","Third most important",,"Yes","Yes","Yes","Yes","No","Yes","No","Unsettled house and other",25,5,,
5,3,3,"Ha Noi",3,"Production Worker","Other","Male",1979,"Yes","Yes",2012,"Yes",,"No","Married",1,"Kinh","College",5154,2002,3,"Agriculture",4,"Agriculture",0,,0,,0,,"Don't know","No",,"Production Worker","Private firm","Services",9,"Sufficient","Better salary","Time rate","Cash",6,8,"Month",3500,"Month",2000,,,"No","Higher","No","Yes",100,"No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Not necessary at moment","No",,,"Friend/acquaintance working in firm","On-the-job test (carried out by experienced worker)","No",,,,,,"No",,"Yes",,,"Most important",,"Second most important","Third most important",,"Yes","Yes","Yes","Yes","No","Yes","No","Unsettled house and other",30,6,,
5,1,1,"Ha Noi",1,"Professional Worker","Other","Female",1985,"Yes","Yes",2008,"Yes",,"No","Married",1,"Kinh","College",5134,2008,5,"Services",6,"Services",0,,0,,0,,"Don't know","No",,"Sales Worker","Private firm","Services",1,"Sufficient","Better salary","Time rate","Cash",6,8,"Month",4000,"Month",2500,,,"No","Higher","No","Yes",3000,"No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Not necessary at moment","No",,,"Friend/acquaintance working in firm","On-the-job test (carried out by experienced worker)","No",,,,,,"No",,"Yes",,,"Most important",,"Second most important","Third most important",,"Yes","Yes","Yes","Yes","No","Yes","No","Unsettled house and other",20,8,,
24,3,3,"Ha Noi",3,"Production Worker","Other","Male",1990,"Yes","Yes",2012,"Yes",,"Yes","Married",1,"Kinh","Technical level without certificate",,,4,"Services",4,"Services",0,,0,,0,,"Don't know","No",,"Did not work",,,3,,,"Time rate","Cash",6,8,"Month",4000,"Month",2500,,,"Yes","Higher","Yes","Yes",1000,"No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Not necessary at moment","Yes","Yes","Yes","Friend/acquaintance working in firm","On-the-job test (carried out by experienced worker)","Yes",2012,"Yes",40,"Better and more stable wage","No","No",,"Yes",,"Most important","Third most important","Second most important",,,,"No","Yes","Yes","No","No","Yes","No","Unsettled house and other",15,2,,
24,4,4,"Ha Noi",4,"Production Worker","Other","Male",1991,"Yes","Yes",2012,"Yes",,"No","Married",1,"Kinh","High school",,,4,"Services",4,"Services",0,,0,,0,,"Don't know","No",,"Did not work",,,3,,,"Time rate","Cash",6,8,"Month",4000,"Month",2500,,,"Yes","Higher","Yes","Yes",1000,"No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Not necessary at moment","Yes","Yes","Yes","Friend/acquaintance working in firm","On-the-job test (carried out by experienced worker)","Yes",2012,"Yes",40,"Better and more stable wage","No","No",,"Yes",,"Most important","Second most important","Third most important",,,,"No","Yes","Yes","No","No","Yes","No","Unsettled house and other",20,4,,
24,1,1,"Ha Noi",1,"Office Worker","Other","Female",1969,"Yes","Yes",2007,"Yes",,"Yes","Married",2,"Kinh","University and higher",5246,1991,5,"Services",5,"Services",1,10,0,,0,,"No","No",,"Professional Worker (Requires Uni Degree)","Private firm","Manufacturing and Construction",14,"Sufficient","Better salary","Time rate","Cash",6,8,"Month",5500,"Month",500,,,"Yes","Higher","Yes","Yes",1200,"No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Not necessary at moment","Yes","Yes","Yes","Owner, who is a friend","Interview","Yes",2007,"Yes",55,"Better and more stable wage","No","No",,"Yes",,"Second most important","Most important","Third most important",,,,"No","Yes","Yes","Yes","Yes","Yes","Yes","Pemanent non-contained house",25,20,1960,2010
24,2,2,"Ha Noi",2,"Sales Worker","Other","Female",1982,"Yes","Yes",2010,"Yes",,"No","Married",2,"Kinh","University and higher",5234,2006,10,"Services",9,"Services",1,10,0,,0,,"No","No",,"Office Worker","Private firm","Manufacturing and Construction",3,"Sufficient","Better working condition","Time rate","Cash",6,8,"Month",4000,"Month",1500,,,"Yes","Higher","Yes","Yes",1000,"No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Not necessary at moment","Yes","Yes","Yes","Friend/acquaintance working in firm","On-the-job test (carried out by experienced worker)","Yes",2010,"Yes",40,"Better and more stable wage","No","No",,"Yes",,"Third most important","Second most important","Most important",,,,"No","Yes","Yes","Yes","No","Yes","No","semi-permanent house",20,5,1988,2009
127,1,9,"Ha Noi",9,"Office Worker","Other","Female",1958,"Yes","Yes",1995,"Yes",,"Yes","Married",2,"Kinh","University and higher",5324,1980,5,"Agriculture",5,"Agriculture",0,,0,,0,,"Don't know","No",,"Office Worker","SOE","Agriculture",15,"Sufficient","Better working condition","Time rate","Cash",5,8,"Month",4000,"Month",3000,"Month",3000,"No","Same","No","Yes",8000,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Low quality of services","No","No",,"Friend/acquaintance working in firm","Interview","No",,,,,,"No",,"No",,"Third most important",,"Second most important","Most important",,,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",84,18,,
182,4,9,"Hai Phong",9,"Service Worker","Relative of owner, but not living in the same HH","Male",1964,"Yes","Yes",2000,"Yes",,"Yes","Married",2,"Kinh","Secondary school",,,2,"Agriculture",3,"Agriculture",14,5,0,,2,7,"No","No",,"Did not work",,,15,,,"Time rate","Cash",6,8,"Month",3500,"Month",2000,,,"No","Same","No","Yes",500,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Too expensive","Yes","Yes","Yes","Owner, who is a relative","None of the above","Yes",2008,"Yes",200,"Better and more stable wage","No","No",,"No",,"Most important",,"Third most important","Second most important",,,"Yes","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",60,16,1999,2009
182,2,2,"Hai Phong",2,"Production Worker","Relative of owner, but not living in the same HH","Male",1986,"Yes","Yes",2005,"Yes",,"Yes","Married",2,"Kinh","Secondary school",,,1,"Services",1,"Services",15,10,0,,5,3,"No","Yes","Yes","Office Worker","Government","Manufacturing and Construction",10,"Not sufficient","Closer to home","Time rate","Cash",6,8,"Month",3500,"Month",,,,"No","Lower","No","Yes",1000,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Low quality of services","Yes","Yes","Yes","Owner, who is a relative","Interview","Yes",,,200,"Better and more stable wage","No","No",,"No",,,"Third most important",,"Most important","Second most important",,"Yes","Yes","Yes","Yes","Yes","Yes","No","Villa",40,12,2003,
