id,wid_09,wid07,eq1_09,eqd2_09,eqd4_09,eqd5_09,eqd6_09,eqd7_09,eqd8_09,eqd9_09,eqd10_09,eqd11_09,eqd12_09,eqe1_09,eqe2_09,eqe3_09,eqe4_09,eqe5_09,eqe6_09,eqe7_09,eqe8_09,eqf1a_09,eqf1b_09,eqf1c_09,eqf2_09,eqf3_09,eqf4_09,eqg1a_09,eqg1b_09,eqg2a_09,eqg2b_09,eqg3a_09,eqg3b_09,eqg4_09,eqg5a_09,eqg5b_09,eqg6_09,eqg7_09,eqg8_09,eqg9a_09,eqg9b_09,eqg9c_09,eqg9d_09,eqg9e_09,eqg9f_09,eqg9g_09,eqg9h_09,eqg10a_09,eqg10b_09,eqg11_09,eqg12_09,eqg13_09,eqg14_09,eqh1_09,eqh2_09,eqi1_09,eqi2_09,eqi3_09,eqi4_09,eqi5_09,eqi6_09,eqi7_09,eqi8_09,eqj1a_09,eqj1ba_09,eqj1bb_09,eqj1bc_09,eqj1bd_09,eqj1be_09,eqj1bf_09,eqj1bg_09,eqj2_09,eqj3_09,eqj4_09,eqk1a_09,eqk1b_09,eqk1c_09,eqk1d_09,eqk1e_09,eqk2a_09,eqk2b_09,eqk2c_09,eqk2d_09,eqk2e_09,eqk2f_09
5,2,98,Ha Noi,Professional Worker,Female,1981,Yes,Yes,0,Yes,,No,Married,8,5234,2005,No,4,Agriculture,3,Agriculture,Did not work,,,,,,Time rate,Cash,5,8,Month,1000,Yes,Higher,,,,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,I prefer to save up myself,No,No,,Friend/acquaintance working in firm,None of the above,,,,,,,No,,No,,,Most important,,,,,No,No,Laid off,Yes,Yes,Yes,Yes,Yes,No,Permanent self-contained house,30,2,1982,2006
5,5,98,Ha Noi,Service Worker,Male,1978,Yes,Yes,2,No,Rural,No,Married,4,,,No,4,Agriculture,4,Agriculture,Service Worker,Private firm,Manufacturing and Construction,4,Sufficient,Better salary,Time rate,Cash,6,8,Month,1000,Yes,Higher,Yes,Yes,1000,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Too expensive,No,No,,Friend/acquaintance working in firm,On-the-job test (carried out by experienced worker),,,,,,,No,,No,,,Most important,,,,,No,No,Laid off,Yes,Yes,Yes,Yes,Yes,No,Permanent self-contained house,30,5,,
5,4,98,Ha Noi,Production Worker,Male,1984,Yes,Yes,2,No,Rural,No,Not married,3,,,No,4,Agriculture,4,Agriculture,Production Worker,Private firm,Manufacturing and Construction,1,Sufficient,Better salary,Time rate,Cash,6,8,Month,860,Yes,Higher,Yes,Yes,860,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Too expensive,No,No,,Friend/acquaintance working in firm,On-the-job test (carried out by experienced worker),,,,,,,No,,No,,,Most important,,,,,No,No,Laid off,Yes,Yes,Yes,No,No,No,Permanent self-contained house,15,2,,
5,3,98,Ha Noi,Production Worker,Male,1991,Yes,Yes,2,No,Rural,No,Not married,2,,,No,3,Agriculture,2,Agriculture,Production Worker,Private firm,Manufacturing and Construction,1,Sufficient,Better salary,Piece rate,In-Kind,6,8,Month,860,Yes,Higher,Yes,Yes,860,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Too expensive,No,No,,Friend/acquaintance working in firm,On-the-job test (carried out by experienced worker),,,,,,,No,,No,,,Most important,,,,,No,No,Laid off,Yes,Yes,Yes,No,No,No,Permanent self-contained house,16,1,,
5,1,98,Ha Noi,Manager,Female,1981,Yes,Yes,2,Yes,,Yes,Married,8,5234,2005,No,8,Manufacturing and Construction,7,Manufacturing and Construction,Did not work,,,,,,Time rate,Cash,5,8,Month,1000,Yes,Higher,Yes,Yes,1000,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,,No,No,,"Owner, who is a relative",None of the above,,,,,,,No,,No,,,Most important,,,,,No,No,Laid off,Yes,Yes,Yes,Yes,Yes,No,Permanent self-contained house,120,3,2006,
24,1,98,Ha Noi,Professional Worker,Male,1982,Yes,Yes,3,No,Rural,No,Not married,8,5248,2006,No,3,Agriculture,2,Services,Did not work,,,,,,Time rate,Cash,6,8,Month,3500,Yes,Same,Yes,Yes,2000,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Other,No,No,,"Owner, who is a relative",None of the above,,,,,,,No,,No,,,Most important,Third most important,Second most important,,,No,No,Nothing,Yes,Yes,Yes,Yes,Yes,No,,,,,
39,1,98,Ha Tay,Production Worker,Male,1982,Yes,No,4,Yes,,Yes,Not married,4,,,No,4,Services,4,Services,Production Worker,Private firm,Services,2,Not sufficient,Better salary,Time rate,Cash,7,9,Month,2000,Yes,Higher,Yes,Yes,1000,No,No,No,No,No,Yes,No,No,No,No,No,I prefer to save up myself,No,Yes,Yes,Other,On-the-job test (carried out by experienced worker),,,,,,,No,,Yes,Most important,Third most important,,,Second most important,,,No,No,Don't know,Yes,Yes,Yes,No,No,No,Permanent self-contained house,80,10,1999,
39,2,98,Ha Tay,Production Worker,Male,1975,Yes,No,9,Yes,,Yes,Married,4,,,No,4,Agriculture,4,Agriculture,Production Worker,Private firm,Services,7,Sufficient,Better salary,Time rate,Cash,7,9,Month,2000,Yes,Higher,Yes,Yes,1000,No,No,No,No,No,Yes,No,No,No,No,No,I prefer to save up myself,No,Yes,Yes,Other,On-the-job test (carried out by experienced worker),,,,,,,No,,Yes,Most important,Third most important,,,Second most important,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,No,Pemanent non-contained house,60,15,1994,
52,2,98,Ha Noi,Production Worker,Male,1952,Yes,No,12,Yes,,Yes,Married,5,2252,1971,No,5,Manufacturing and Construction,4,,Production Worker,SOE,Manufacturing and Construction,17,More than sufficient,Better salary,Piece rate,Cash,6,8,Month,2000,No,Higher,Yes,Yes,2000,No,Yes,No,No,No,No,No,No,No,No,No,Not necessary at moment,No,Yes,Yes,Friend/acquaintance working in firm,On-the-job test (carried out by experienced worker),,,,,,,No,,No,,,Most important,Second most important,Third most important,,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,40,13,1996,
52,1,98,Ha Noi,Production Worker,Male,1968,Yes,No,21,Yes,,Yes,Married,5,2252,1989,No,6,Manufacturing and Construction,5,Services,Did not work,,,,,,Piece rate,Cash,6,8,Month,3000,No,Higher,Yes,Yes,3000,No,Yes,No,No,No,No,No,No,No,No,No,Procedures too complicated,No,Yes,Yes,"Owner, who is a relative",None of the above,,,,,,,No,,No,,,Most important,Second most important,Third most important,,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,35,27,1982,2007
