id,wid_11,wid09,eq2_11,eqd2_11,eqd3_11,eqd4_11,eqd5_11,eqd6_11,eqd7_11,eqd8_11,eqd9_11,eqd10_11,eqd11_11,eqd12_11,eqe1_11,eqe2_11,eqe3_11,eqe4_11,eqe5_11,eqe6_11,eqe7_11,eqe8_11,eqf1a_11,eqf1b_11,eqf1c_11,eqf2_11,eqf3_11,eqf4_11,eqg1a_11,eqg1b_11,eqg2a_11,eqg2b_11,eqg3a_11,eqg3b_11,eqg4_11,eqg5a_11,eqg5b_11,eqg6_11,eqg7_11,eqg8_11,eqg9a_11,eqg9b_11,eqg9c_11,eqg9d_11,eqg9e_11,eqg9f_11,eqg9g_11,eqg9h_11,eqg9i_11,eqg10a_11,eqg10b_11,eqg11_11,eqg12_11,eqg13_11,eqg14_11,eqh1_11,eqh2_11,eqi1_11,eqi2_11,eqi3_11,eqi4_11,eqi5_11,eqi6_11,eqi7_11,eqi8_11,eqj1a_11,eqj1ba_11,eqj1bb_11,eqj1bc_11,eqj1bd_11,eqj1be_11,eqj1bf_11,eqj1bg_11,eqj2_11,eqj3_11,eqj4_11,eqk1a_11,eqk1b_11,eqk1c_11,eqk1d_11,eqk1e_11,eqk2a_11,eqk2b_11,eqk2c_11,eqk2d_11,eqk2e_11,eqk2f_11
5,6,2,Ha Noi,Production Worker,Other,Male,1989,Yes,Yes,2009,No,Rural,No,Not married,High school,,,No,Secondary school,Manufacturing and Construction,Secondary school,Services,Production Worker,Private firm,Manufacturing and Construction,2,Not sufficient,Better salary,Combined,Cash,6,8,Month,1900,No,Higher,Yes,Yes,70,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Low quality of services,Yes,Yes,Yes,Through door to door visits,On-the-job test (carried out by experienced worker),,,,,,,,,No,Third most important,Most important,Second most important,,,,,No,No,Laid off,No,Yes,Yes,No,Yes,No,semi-permanent house,20,1,,
5,7,2,Ha Noi,Professional Worker,Other,Female,1984,Yes,Yes,2007,No,Urban,No,Married,College/University/post-graduate,3431,2005,No,High school,Manufacturing and Construction,High school,Manufacturing and Construction,Professional Worker (Requires Uni Degree),Private firm,Manufacturing and Construction,3,Sufficient,Better working condition,Time rate,Cash,6,8,Month,2200,No,Higher,Yes,Yes,70,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Not necessary at moment,No,Yes,Yes,Friend/acquaintance working in firm,On-the-job test (carried out by experienced worker),,,,,,,,,No,,Most important,Second most important,,,,,No,Yes,Laid off,Yes,Yes,Yes,Yes,Yes,No,Permanent self-contained house,42,3,,
24,4,1,Ha Noi,Professional Worker,Other,Male,1948,Yes,Yes,2005,Yes,,Yes,Married,College/University/post-graduate,5234,1973,Yes,College/University/post-graduate,Manufacturing and Construction,College/University/post-graduate,Manufacturing and Construction,Professional Worker (Requires Uni Degree),Government,Manufacturing and Construction,32,Sufficient,Better for health,Time rate,Cash,6,8,Month,7000,Yes,Higher,Yes,Yes,7000,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Other,Yes,Yes,Yes,Through employment agency,Interview,Yes,2005,Yes,125,More job security,Yes,No,,Yes,Third most important,,,Second most important,Most important,,,Yes,No,Help related to medicine,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,100,25,1986,1996
24,2,1,Ha Noi,Production Worker,Other,Female,1965,Yes,Yes,2005,No,Rural,No,Married,High school,,,Yes,Secondary school,Agriculture,Secondary school,Agriculture,Production Worker,SOE,Manufacturing and Construction,16,Sufficient,Better salary,Piece rate,Cash,7,8,Month,2000,Yes,Higher,Yes,Yes,2000,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Other,Yes,Yes,Yes,Job advertisement,On-the-job test (carried out by experienced worker),Yes,2005,Yes,125,Better and more stable wage,Yes,No,,Yes,Most important,Second most important,,,Third most important,,,Yes,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,semi-permanent house,60,10,2001,2006
24,3,1,Ha Noi,Production Worker,Other,Male,1983,Yes,Yes,2005,Yes,,No,Married,High school,,,Yes,High school,Agriculture,High school,Agriculture,Production Worker,Private firm,Manufacturing and Construction,3,Sufficient,Better salary,Piece rate,Cash,7,8,Month,1900,Yes,Higher,Yes,Yes,1900,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Other,Yes,Yes,Yes,Job advertisement,On-the-job test (carried out by experienced worker),Yes,2005,Yes,125,More safety at workplace,Yes,No,,Yes,Most important,Second most important,,,Third most important,,,Yes,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,Permanent self-contained house,70,17,1994,2000
24,6,2,Ha Noi,Sales Worker,Other,Male,1987,Yes,Yes,2010,No,Urban,No,Not married,College/University/post-graduate,5234,2009,Yes,College/University/post-graduate,Services,College/University/post-graduate,Services,Did not work,,,,,,Time rate,Cash,6,8,Month,2700,Yes,Higher,Yes,Yes,2700,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Other,Yes,Yes,Yes,Through employment agency,On-the-job test (carried out by experienced worker),Yes,2010,Yes,125,More job security,Yes,No,,Yes,Third most important,,,Most important,Second most important,,,Yes,No,Nothing,Yes,Yes,Yes,Yes,Yes,No,Pemanent non-contained house,40,9,2002,2008
24,5,2,Ha Noi,Office Worker,Other,Female,1987,Yes,Yes,2010,Yes,,Yes,Not married,College/University/post-graduate,5234,2009,Yes,College/University/post-graduate,Manufacturing and Construction,Technical worker/professional secondary,Services,Did not work,,,,,,Time rate,Cash,6,8,Month,2500,Yes,Higher,Yes,Yes,2500,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Other,Yes,Yes,Yes,Job advertisement,On-the-job test (carried out by experienced worker),Yes,2010,Yes,125,More job security,Yes,No,,Yes,Third most important,,Most important,,Second most important,,,Yes,No,Nothing,Yes,Yes,Yes,Yes,Yes,No,Pemanent non-contained house,30,16,1995,2004
24,1,1,Ha Noi,Manager,Other,Male,1948,Yes,Yes,2005,Yes,,Yes,Married,College/University/post-graduate,5234,1972,Yes,College/University/post-graduate,Services,College/University/post-graduate,Services,Manager,SOE,Manufacturing and Construction,30,Sufficient,Other,Time rate,Cash,6,8,Month,8000,Yes,Higher,Yes,Yes,8000,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Other,Yes,Yes,Yes,Job advertisement,Interview,Yes,2005,Yes,125,More job security,Yes,No,,Yes,Third most important,,,Most important,Second most important,,,Yes,No,Nothing,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,80,20,1991,2002
39,2,2,Ha Tay,Production Worker,Other,Male,1964,Yes,No,2009,Yes,,Yes,Married,Secondary school,,,No,Secondary school,Agriculture,Secondary school,Agriculture,Production Worker,Private firm,Manufacturing and Construction,16,Sufficient,Closer to home,Time rate,Cash,6,8,Month,2800,No,Higher,Yes,Yes,200,No,No,No,No,No,No,No,No,No,No,No,No,Not necessary at moment,Yes,Yes,No,Other,None of the above,,,,,,,,,Yes,Most important,,Third most important,,Second most important,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,Unsettled house and other,60,40,1971,2007
39,1,2,Ha Tay,Production Worker,"Relative of owner, but not living in the same HH",Male,1964,Yes,No,2009,Yes,,Yes,Married,Secondary school,,,No,Secondary school,Agriculture,Primary school,Agriculture,Production Worker,Private firm,Manufacturing and Construction,17,More than sufficient,Closer to home,Time rate,Cash,6,8,Month,2800,No,Higher,Yes,Yes,200,No,No,No,No,No,No,No,No,No,No,No,Yes,Other,Yes,Yes,No,"Owner, who is a relative",None of the above,,,,,,,,,Yes,Most important,,Third most important,,Second most important,,,No,No,Help related to medicine,Yes,Yes,Yes,No,Yes,Yes,semi-permanent house,54,47,,2002
127,1,1,Ha Noi,Production Worker,Other,Male,1962,Yes,Yes,1989,No,Rural,No,Married,High school,,,No,None,Agriculture,None,Agriculture,Production Worker,SOE,Manufacturing and Construction,25,More than sufficient,Better working condition,Piece rate,Cash,6,8,Day,150,Yes,Same,Yes,Yes,1000,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Not necessary at moment,Yes,Yes,Yes,"Owner, who is a relative",None of the above,,,,,,,,,No,,Most important,Third most important,,,Second most important,,No,No,Don't know,Yes,Yes,Yes,No,Yes,No,Permanent self-contained house,30,2,,
127,7,9,Ha Noi,Production Worker,Other,Male,1968,Yes,Yes,2004,No,Rural,No,Married,High school,,,No,None,Agriculture,None,Agriculture,Production Worker,Private firm,Services,18,More than sufficient,Better working condition,Piece rate,Cash,6,8,Month,1500,Yes,Same,Yes,Yes,1000,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Not necessary at moment,Yes,Yes,Yes,"Owner, who is a relative",None of the above,,,,,,,,,No,Third most important,Most important,,,Second most important,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,No,semi-permanent house,20,1,,
127,6,9,Ha Noi,Production Worker,Other,Male,1977,Yes,Yes,2004,No,Rural,No,Married,High school,,,No,None,Agriculture,None,Agriculture,Production Worker,Private firm,Services,9,More than sufficient,Better working condition,Piece rate,Cash,6,8,Day,150,Yes,Same,Yes,Yes,1000,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Not necessary at moment,Yes,Yes,Yes,"Owner, who is a relative",None of the above,,,,,,,,,No,,Most important,,,Second most important,Third most important,,No,No,Don't know,Yes,Yes,Yes,No,Yes,No,semi-permanent house,20,1,,
