id,wid_13,wid_in_11,eq2_13,eqd1a_13,eqd2_13,eqd3_13,eqd4_13,eqd5_13,eqd6_13,eqd7_13,eqd8_13,eqd9_13,eqd10_13,eqd11_13,eqd12_13,eqe1_13,eqe2_13,eqe3_13,eqe4_13,eqe5_13,eqe6_13,eqe7_13,eqe8_13,eqe8a_13,eqe9_13,eqe9a_13,eqe10_13,eqe10a_13,eqe11_13,eqe12_13,eqe13_13,eqf1a_13,eqf1b_13,eqf1c_13,eqf2_13,eqf3_13,eqf4_13,eqg1a_13,eqg1b_13,eqg2a_13,eqg2b_13,eqg3a1_13,eqg3a2_13,eqg3b1_13,eqg3b2_13,eqg3c1_13,eqg3c2_13,eqg4_13,eqg5a_13,eqg5b_13,eqg6_13,eqg7_13,eqg8_13,eqg9a_13,eqg9b_13,eqg9c_13,eqg9d_13,eqg9e_13,eqg9f_13,eqg9g_13,eqg9h_13,eqg9i_13,eqg10a_13,eqg10b_13,eqg11_13,eqg12_13,eqg13_13,eqg14_13,eqh1_13,eqh2_13,eqi1_13,eqi2_13,eqi3_13,eqi4_13,eqi5_13,eqi6_13,eqi7_13,eqi8_13,eqj1a_13,eqj1ba_13,eqj1bb_13,eqj1bc_13,eqj1bd_13,eqj1be_13,eqj1bf_13,eqj1bg_13,eqj2_13,eqj3_13,eqj4_13,eqk1a_13,eqk1b_13,eqk1c_13,eqk1d_13,eqk1e_13,eqk2a_13,eqk2b_13,eqk2c_13,eqk2d_13,eqk2e_13,eqk2f_13
5,2,9,Ha Noi,9,Production Worker,Other,Female,1976,Yes,Yes,2010,Yes,,Yes,Married,College,5051,1997,High school,Agriculture,High school,Agriculture,0,,0,,0,,Yes after off-the-job training,No,,Production Worker,Private firm,Services,10,Sufficient,Better salary,Time rate,Cash,7,8,Month,3500,Month,3000,,,Yes,Higher,Yes,No,,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Low quality of services,No,No,,Friend/acquaintance working in firm,Interview,,,,,,,,,No,,,,,,,,No,No,Laid off,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,40,10,2003,
5,1,9,Ha Noi,9,Office Worker,Other,Female,1985,Yes,Yes,2008,Yes,,Yes,Married,College,5034,2006,Technical level without certificate,Services,Vocational elementary,Services,0,,0,,0,,Yes after off-the-job training,No,,Sales Worker,Private firm,Services,1,Sufficient,Better salary,Time rate,Cash,7,8,Month,3500,Month,3000,,,Yes,Higher,Yes,No,,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Low quality of services,No,No,,Friend/acquaintance working in firm,Interview,,,,,,,,,No,,,,,,,,No,No,Laid off,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,24,6,2007,
5,3,9,Ha Noi,9,Production Worker,Other,Male,1979,Yes,Yes,2012,Yes,,Yes,Married,College,5054,1999,High school,Agriculture,High school,Agriculture,0,,0,,0,,Yes after off-the-job training,No,,Production Worker,Private firm,Services,9,Sufficient,Better salary,Time rate,Cash,7,8,Month,3500,Month,3000,,,Yes,Higher,Yes,No,,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Low quality of services,No,No,,Friend/acquaintance working in firm,Interview,,,,,,,,,No,,,,,,,,No,No,Laid off,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,30,9,2004,
24,4,9,Ha Noi,9,Production Worker,Other,Female,1991,Yes,No,2012,Yes,,Yes,Not married,High school,,,High school,Services,High school,Services,0,,0,,0,,No,No,,Did not work,,,,,,Time rate,Cash,7,8,Month,3500,Month,3000,,,Yes,Higher,,,,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Not necessary at moment,No,Yes,Yes,Friend/acquaintance working in firm,Interview,,,,,,,,,Yes,,,,,,,,No,No,Laid off,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,45,22,,2005
24,1,9,Ha Noi,9,Professional Worker,Other,Male,1969,Yes,Yes,2007,Yes,,Yes,Married,University and higher,5246,1992,Technical level without certificate,Services,Technical level without certificate,Services,0,,0,,0,,No,Yes,No,Professional Worker (Requires Uni Degree),Private firm,Services,14,Sufficient,Better salary,Time rate,Cash,6,8,Month,4500,Month,3000,,,,Same,No,No,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,I prefer to save up myself,No,,,Through employment agency,Interview,,,,,,,,,Yes,,,,,,,,No,No,Laid off,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,33,20,1993,
24,2,9,Ha Noi,9,Sales Worker,Other,Male,1982,Yes,Yes,2010,Yes,,Yes,Married,University and higher,5234,2006,College,Services,Vocational college,Services,0,,0,,0,,No,Yes,Yes,Office Worker,Private firm,Services,3,Sufficient,Better working condition,Time rate,Cash,6,8,Month,4000,Month,3000,,,,Same,No,No,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,I prefer to save up myself,No,,,Relative working in firm,Interview,,,,,,,,,Yes,,,,,,,,No,No,Laid off,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,50,10,2003,
24,3,9,Ha Noi,9,Production Worker,Other,Female,1990,Yes,No,2012,Yes,,Yes,Not married,Technical level without certificate,,,High school,Services,High school,Services,0,,0,,0,,No,No,,Did not work,,,,,,Time rate,Cash,7,8,Month,3500,Month,3000,,,Yes,Higher,,,,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Not necessary at moment,No,Yes,Yes,Friend/acquaintance working in firm,Interview,,,,,,,,,Yes,,,,,,,,No,No,Laid off,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,30,23,,2008
39,2,9,Ha Tay,9,Production Worker,"Relative of owner, but not living in the same HH",Male,1964,Yes,No,1988,Yes,,Yes,Married, Professional secondary,5252,1989,Secondary school,Agriculture,None,Agriculture,0,,0,,1,1,No,No,,Production Worker,Other,Manufacturing and Construction,9,Sufficient,Better working condition,Combined,Cash,6,8,Month,3000,Day,2800,,,No,Same,No,Yes,1000,No,No,No,No,No,No,No,No,No,No,No,No,Not necessary at moment,No,,,"Owner, who is a relative",None of the above,,,,,,,,,No,,,,,,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,semi-permanent house,160,15,1998,
127,6,7,Ha Noi,7,Production Worker,Other,Male,1968,Yes,Yes,2004,No,Rural,No,Married,High school,,,None,Agriculture,None,Agriculture,0,,0,,0,,No,No,,Production Worker,Private firm,Services,18,Sufficient,Better working condition,Piece rate,Cash,6,8,Month,3000,Month,2500,,,Yes,Same,No,Yes,2000,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Not necessary at moment,Yes,Yes,Yes,"Owner, who is a relative",None of the above,,,,,,,,,Yes,,,Third most important,,,Most important,Second most important,No,No,Nothing,Yes,Yes,Yes,No,Yes,Yes,Unsettled house and other,300,18,1995,2012
127,5,6,Ha Noi,6,Office Worker,Other,Male,1977,Yes,Yes,2004,No,Rural,No,Married,High school,,,None,Agriculture,None,Agriculture,0,,0,,0,,No,No,,Production Worker,Private firm,Services,9,Sufficient,Better working condition,Piece rate,Cash,6,8,Month,3000,Month,2000,,,Yes,Same,No,Yes,2000,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Not necessary at moment,Yes,Yes,Yes,"Owner, who is a relative",None of the above,,,,,,,,,Yes,,Third most important,,,Most important,Second most important,,No,No,Nothing,Yes,Yes,Yes,No,Yes,Yes,Unsettled house and other,300,10,2003,2007
